Date,Price,Year,Month,Day,DayOfWeek,MA7,MA14,MA30,Lag1,Lag2,Lag3
2010-05-28,128.36,2010,5,28,4,127.2942857142857,134.7257142857143,130.55166666666668,128.46,128.06,126.6
2010-05-31,128.57,2010,5,31,0,127.61285714285715,132.75285714285715,130.661,128.36,128.46,128.06
2010-06-01,126.47,2010,6,1,1,127.57142857142857,130.85999999999999,130.722,128.57,128.36,128.46
2010-06-04,131.54,2010,6,4,4,128.29428571428573,127.72071428571428,130.96033333333332,126.47,128.57,128.36
2010-06-05,127.33,2010,6,5,5,128.39857142857142,127.62142857142855,131.06133333333335,131.54,126.47,128.57
2010-06-07,148.26,2010,6,7,0,131.28428571428572,129.1507142857143,131.82933333333332,127.33,131.54,126.47
2010-06-08,154.86,2010,6,8,1,135.0557142857143,131.06142857142856,132.80066666666667,148.26,127.33,131.54
2010-06-09,162.07,2010,6,9,2,139.87142857142857,133.58285714285714,133.999,154.86,148.26,127.33
2010-06-10,152.68,2010,6,10,3,143.31571428571428,135.46428571428572,134.96200000000002,162.07,154.86,148.26
2010-06-12,175.08,2010,6,12,5,150.26,138.91571428571427,136.60566666666668,152.68,162.07,154.86
2010-06-14,142.16,2010,6,14,0,151.77714285714288,140.03571428571428,137.11,175.08,152.68,162.07
2010-06-15,145.8,2010,6,15,1,154.4157142857143,141.40714285714287,137.717,142.16,175.08,152.68
2010-06-16,148.61,2010,6,16,2,154.4657142857143,142.875,138.49833333333333,145.8,142.16,175.08
2010-06-17,147.25,2010,6,17,3,153.37857142857143,144.21714285714287,139.35466666666667,148.61,145.8,142.16
2010-06-18,148.4,2010,6,18,4,151.4257142857143,145.64857142857142,140.23799999999997,147.25,148.61,145.8
2010-06-21,149.27,2010,6,21,0,150.9385714285714,147.12714285714287,140.89666666666665,148.4,147.25,148.61
2010-06-22,148.83,2010,6,22,1,147.18857142857146,148.7242857142857,140.778,149.27,148.4,147.25
